Year(4)-CountyCode(2)-MunicipalityCode(2)-CaseNumber,County Name,Municipality Name,Crash Date,Crash Day of Week,Crash Time,Police Department Code,Police Department,Police Station,Total Killed,Total Injured,Pedestrians Killed,Pedestrians Injured,Severity,Intersection,Alcohol Involved,Hazmat Involved,Crash Type,Total Vehicles,Location,Location Direction,Route,Route Suffix,Std Rte Identifier,MilePost,Road System,Road Character,Road Horizontal Alignment,Road Grade,Road Surface Type,Surface Condition,Light Condition,Environmental Condition,Road Divided By,Temporary Traffic Control Zone,Distance To Cross Street,Unit Of Measurement,Direction From Cross Street,Cross Street Name,Is Ramp,Ramp To/From Route Name,Ramp To/From Route Direction,Posted Speed,Posted Speed Cross Street,First Harmful Event,Latitude,Longitude,Cell Phone In Use Flag,Other Property Damage,Reporting Badge No.
2018130118-00222,MONMOUTH,ALLENHURST BORO,01/03/2018,WE,1340,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,06,2,CORLIES AVE,W,,,13011016__,.13,07,,01,04,02,01,01,01,05,01,50,FE,E,NJ 71,,,,25,35,26,,,N,,105
2018130118-03831,MONMOUTH,ALLENHURST BORO,02/17/2018,SA,2059,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,11,1,CORLIES AVE,S,,,13011016__,.00,07,,02,04,02,03,06,03,05,01,,AT,,OCEAN AVE,,,,25,25,,,,N,,118
2018130118-05620,MONMOUTH,ALLENHURST BORO,03/11/2018,SU,2043,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,03,2,NJ 71,S,71,,00000071__,9.79,02,,01,04,02,01,06,01,05,01,,AT,,CORLIES AVE,,,,35,25,26,,,N,,117
2018130118-06451,MONMOUTH,ALLENHURST BORO,03/22/2018,TH,0712,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,11,1,CORLIES AVE,S,,,13011016__,.00,07,,02,04,02,03,06,03,05,01,,AT,,OCEAN AVE,,,,25,25,53,,,N,A FENCE LOCATED AT 108 CORLIES AVENUE  BOROUGH OWNED CAUTION SIGNAL,106
2018130118-06456,MONMOUTH,ALLENHURST BORO,03/22/2018,TH,0948,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,11,1,CORLIES AVE,W,,,13011016__,.40,07,,01,04,02,03,06,03,05,01,100,FE,W,MAIN ST,,,,25,25,53,,,N,BOROUGH OWNED STREET LIGHT,106
2018130118-06543,MONMOUTH,ALLENHURST BORO,03/23/2018,FR,1208,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,11,1,NJ 71,N,71,,00000071__,9.87,02,,01,04,02,01,01,01,05,02,85,FE,N,SPIER AVE,,,,35,25,60,,,N,,106
2018130118-06637,MONMOUTH,ALLENHURST BORO,03/24/2018,SA,1602,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,03,2,NJ 71,S,71,,00000071__,9.79,02,,01,04,02,01,01,01,05,01,,AT,,CORLIES AVE,,,,35,25,26,,,N,,106
2018130118-08636,MONMOUTH,ALLENHURST BORO,04/18/2018,WE,1441,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,03,2,NJ 71,S,71,,00000071__,9.79,02,,03,04,02,01,01,01,05,02,,AT,,CORLIES AVE,,,,35,25,26,,,N,,114
2018130118-08868,MONMOUTH,ALLENHURST BORO,04/21/2018,SA,1150,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,08,2,SPIER AVE **,W,,,13011013__,.08,07,,01,04,02,01,01,01,05,01,65,FE,W,MAIN ST,,,,25,25,26,,,N,,106
2018130118-11087,MONMOUTH,ALLENHURST BORO,05/18/2018,FR,1523,01,ALLENHURST PD,,0,1,0,1,I,I,N,N,13,1,MAIN ST,E,,,13031089__,.28,07,,01,04,02,01,01,05,05,01,,AT,,ALLEN AVE,,,,25,25,26,,,N,,108
