Year,Atlantic,Bergen,Burlington,Camden,Cape May,Cumberland,Essex,Gloucester,Hudson,Hunterdon,Mercer,Middlesex,Monmouth,Morris,Ocean,Passaic,Salem,Somerset,Sussex,Union,Warren,Total
2004,"9,342","29,106","11,939","15,706","3,000","5,085","30,908","6,890","20,687","3,887","13,361","27,652","18,956","14,223","14,884","18,311","1,970","10,268","3,739","20,288","3,187","283,389"
2005,"9,056","28,317","11,422","15,264","3,100","4,539","29,726","7,082","19,375","3,766","12,943","26,997","18,740","13,978","14,323","18,024","1,683","10,133","3,879","19,586","3,317","275,250"
2006,"8,922","26,269","11,196","14,646","2,916","4,153","24,485","6,540","18,090","3,648","12,040","26,467","17,447","13,346","13,785","17,213","1,544","9,837","3,496","18,478","3,079","257,597"
2007,"9,040","28,360","11,436","15,564","2,847","4,373","22,642","6,751","19,214","3,778","12,169","27,463","17,964","14,724","14,610","16,888","1,614","10,525","3,681","18,907","3,252","265,802"
2008,"8,786","27,220","10,760","14,941","2,667","4,178","27,801","6,778","18,181","3,586","11,540","26,392","17,581","13,837","14,133","16,400","1,593","10,110","3,497","17,858","3,319","261,158"
2009,"8,964","26,969","11,038","15,081","2,700","4,343","25,703","7,014","17,578","3,777","11,825","25,421","17,938","13,510","14,593","16,864","1,608","10,415","3,564","17,853","3,262","260,020"
2010,"8,693","28,073","11,339","14,213","2,871","3,749","25,067","6,803","18,046","3,547","11,772","25,988","17,584","13,457","14,885","16,787","1,659","10,203","3,437","17,839","3,030","259,042"
2011,"7,936","27,637","10,833","13,023","2,827","3,834","23,680","6,511","18,167","3,375","12,039","25,867","16,910","13,999","13,652","16,911","1,528","10,297","3,573","17,816","3,047","253,462"
2012,"8,203","25,805","10,449","12,727","2,615","3,759","23,222","5,807","17,801","3,524","10,931","24,699","16,551","13,137","13,557","16,811","1,403","10,192","3,135","16,929","2,797","244,054"
2013,"7,556","26,684","11,039","13,324","2,856","4,130","23,667","5,591","17,545","3,393","11,703","24,479","17,335","13,637","14,343","16,736","1,376","10,182","3,216","17,145","2,965","248,902"
2014,"7,302","27,525","11,413","12,801","2,627","4,250","25,734","5,740","18,031","3,754","11,041","25,920","16,875","14,236","14,043","16,261","1,587","10,112","2,971","18,002","2,943","253,168"
2015,"7,821","28,605","11,797","12,545","2,884","4,411","27,267","7,032","19,190","3,808","12,059","26,460","17,513","14,066","14,231","17,025","1,636","10,468","3,232","19,336","3,154","264,540"
2016,"7,735","29,145","12,124","13,545","2,879","4,197","28,019","7,587","20,673","3,836","12,262","27,501","18,516","14,241","14,638","17,780","1,657","10,582","3,135","20,105","3,316","273,473"
2017,"7,929","28,952","11,822","15,176","2,650","4,467","29,639","7,515","19,237","3,873","10,337","27,210","17,890","14,500","14,023","18,314","1,619","10,413","3,033","20,126","3,084","271,809"
2018,"7,494","29,459","12,238","15,755","2,532","3,706","30,078","7,713","19,627","4,033","10,473","28,965","18,164","14,742","14,848","19,110","1,738","10,748","3,153","20,377","3,460","278,413"
2019,"8,140","29,722","11,172","14,950","2,478","3,726","30,287","7,121","19,729","3,921","11,576","28,932","17,507","14,690","14,986","17,921","1,723","10,758","3,034","21,171","3,317","276,861"
2020,"5,591","19,472","8,888","11,002","2,023","3,237","20,071","6,022","12,711","2,741","7,495","18,132","13,058","8,701","11,970","12,705","1,401","6,766","2,409","13,779","2,609","190,783"
